geometry,operating_temp_C,ambient_temp_C,insulation_mm,material,lambda_WmK,heat_flux_bare_Wm2,heat_flux_insulated_Wm2,heat_loss_reduction_pct,surface_temp_C,touch_safety_ISO13732_1
flat,400,30,100,mineral wool (wired),0.0678,3700.0,234.8,93.7,53.5,caution (brief touch)
flat,400,30,125,mineral wool (wired),0.0678,3700.0,190.2,94.9,49.0,"short-contact only (~1 s, bare metal)"
flat,400,30,150,mineral wool (wired),0.0678,3700.0,159.9,95.7,46.0,"short-contact only (~1 s, bare metal)"
flat,450,0,0,none,,4500.0,4500.0,0.0,450,burn risk (>60C)
flat,450,0,25,mineral wool (wired),0.0703,4500.0,987.1,78.1,98.7,burn risk (>60C)
flat,450,0,50,mineral wool (wired),0.0703,4500.0,554.4,87.7,55.4,caution (brief touch)
flat,450,0,75,mineral wool (wired),0.0703,4500.0,385.4,91.4,38.5,"safe (prolonged contact, <=45C)"
flat,450,0,100,mineral wool (wired),0.0703,4500.0,295.4,93.4,29.5,"safe (prolonged contact, <=45C)"
flat,450,0,125,mineral wool (wired),0.0703,4500.0,239.4,94.7,23.9,"safe (prolonged contact, <=45C)"
flat,450,0,150,mineral wool (wired),0.0703,4500.0,201.3,95.5,20.1,"safe (prolonged contact, <=45C)"
flat,450,10,0,none,,4400.0,4400.0,0.0,450,burn risk (>60C)
flat,450,10,25,mineral wool (wired),0.0715,4400.0,978.5,77.8,107.9,burn risk (>60C)
flat,450,10,50,mineral wool (wired),0.0715,4400.0,550.5,87.5,65.0,burn risk (>60C)
flat,450,10,75,mineral wool (wired),0.0715,4400.0,383.0,91.3,48.3,"short-contact only (~1 s, bare metal)"
flat,450,10,100,mineral wool (wired),0.0715,4400.0,293.6,93.3,39.4,"safe (prolonged contact, <=45C)"
flat,450,10,125,mineral wool (wired),0.0715,4400.0,238.1,94.6,33.8,"safe (prolonged contact, <=45C)"
flat,450,10,150,mineral wool (wired),0.0715,4400.0,200.2,95.5,30.0,"safe (prolonged contact, <=45C)"
flat,450,20,0,none,,4300.0,4300.0,0.0,450,burn risk (>60C)
flat,450,20,25,mineral wool (wired),0.0727,4300.0,969.2,77.5,116.9,burn risk (>60C)
flat,450,20,50,mineral wool (wired),0.0727,4300.0,546.2,87.3,74.6,burn risk (>60C)
flat,450,20,75,mineral wool (wired),0.0727,4300.0,380.2,91.2,58.0,caution (brief touch)
flat,450,20,100,mineral wool (wired),0.0727,4300.0,291.6,93.2,49.2,"short-contact only (~1 s, bare metal)"
flat,450,20,125,mineral wool (wired),0.0727,4300.0,236.5,94.5,43.6,"safe (prolonged contact, <=45C)"
flat,450,20,150,mineral wool (wired),0.0727,4300.0,198.9,95.4,39.9,"safe (prolonged contact, <=45C)"
